portfolio_key,chatgpt_project_name,github_org,github_project_number,github_project_title,github_project_url,linear_project_id,linear_project_name,linear_project_url,slack_workspace_id,slack_channel_id,slack_channel_name,slack_channel_url
gha-indie-worker,gha-indie-worker,gha-indie-worker,1,gha-indie-worker-project,https://github.com/orgs/gha-indie-worker/projects/1,69d23e78-b898-49bf-bc84-d319bdaa2059,github.com/gha-indie-worker,https://linear.app/denman/project/githubcomgha-indie-worker-941d4102f7dc,T01B3C83PMK,C0BMVTP7PGD,gha-indie-worker,https://oresoftware-workspace.slack.com/archives/C0BMVTP7PGD
hypeblitz,hypeblitz,hypeblitz,1,hypeblitz-project,https://github.com/orgs/hypeblitz/projects/1,db9d1d76-69a4-44bf-a476-c4ee0c31a00e,github.com/hypeblitz,https://linear.app/denman/project/githubcomhypeblitz-0290c506bc1d,T01B3C83PMK,C0BMXR1K4LE,hypeblitz,https://oresoftware-workspace.slack.com/archives/C0BMXR1K4LE
hypesiege,hypesiege,hypesiege,1,hypesiege-project,https://github.com/orgs/hypesiege/projects/1,cd247cb1-870b-471e-89f6-9484df19e798,github.com/hypesiege,https://linear.app/denman/project/githubcomhypesiege-12bdb95b4116,T01B3C83PMK,C0BMF6JDSHX,hypesiege,https://oresoftware-workspace.slack.com/archives/C0BMF6JDSHX
memebank,memebank,memebank,1,memebank-project,https://github.com/orgs/memebank/projects/1,aa7e93aa-0921-4e60-8ec3-a0e4da1e9572,memebank,https://linear.app/denman/project/memebank-3db5f5cc7452,T01B3C83PMK,C0BLYPLKETS,memebank,https://oresoftware-workspace.slack.com/archives/C0BLYPLKETS
messaging-intel,messaging-intel,messaging-intel,1,messaging-intel-project,https://github.com/orgs/messaging-intel/projects/1,3f6f6aea-d1aa-41a6-949e-859ffc154882,github.com/messaging-intel,https://linear.app/denman/project/githubcommessaging-intel-e1358db591e8,T01B3C83PMK,C0BKVCUUQKX,messaging-intel,https://oresoftware-workspace.slack.com/archives/C0BKVCUUQKX
meta-agents-demo,meta-agents-demo,meta-agents-demo,1,meta-agents-demo-project,https://github.com/orgs/meta-agents-demo/projects/1,9914b9c3-8157-4ae5-a0c3-50b0a654ba06,meta-agents-demo,https://linear.app/denman/project/meta-agents-demo-e6f63b3acf1f,T01B3C83PMK,C0BMZAL168J,meta-agents-demo,https://oresoftware-workspace.slack.com/archives/C0BMZAL168J
networking-components,networking-components,networking-components,1,networking-components-project,https://github.com/orgs/networking-components/projects/1,387c602e-8b41-4b1e-80da-e07ba5c73c11,github.com/networking-components,https://linear.app/denman/project/githubcomnetworking-components-0099b19507ec,T01B3C83PMK,C0BMHU0CUMV,networking-components,https://oresoftware-workspace.slack.com/archives/C0BMHU0CUMV
omniblitz,omniblitz,OmniBlitz,1,OmniBlitz-project,https://github.com/orgs/OmniBlitz/projects/1,179cf0a3-8865-4d3d-9f33-11ebf2b8534e,github.com/OmniBlitz,https://linear.app/denman/project/githubcomomniblitz-b6c7bba447b0,T01B3C83PMK,C0BMWCUGXJR,omniblitz,https://oresoftware-workspace.slack.com/archives/C0BMWCUGXJR
opto-sync,opto-sync,opto-sync,1,opto-sync-project,https://github.com/orgs/opto-sync/projects/1,88c60373-3e46-4a12-8f10-907d239d48f8,github.com/opto-sync,https://linear.app/denman/project/githubcomopto-sync-de6ba65bd559,T01B3C83PMK,C0BMBARQ7N2,opto-sync,https://oresoftware-workspace.slack.com/archives/C0BMBARQ7N2
quaestor-ledger,quaestor-ledger,quaestor-ledger,1,quaestor-ledger-project,https://github.com/orgs/quaestor-ledger/projects/1,aced9d50-40ea-4634-9574-3a6afa49c4ad,github.com/quaestor-ledger,https://linear.app/denman/project/githubcomquaestor-ledger-a8cd440b3acc,T01B3C83PMK,C0BL4E85DGA,quaestor-ledger,https://oresoftware-workspace.slack.com/archives/C0BL4E85DGA
rust-ssr-demos,rust-ssr-demos,rust-ssr-demos,1,rust-ssr-demos-project,https://github.com/orgs/rust-ssr-demos/projects/1,31e60fc2-db6b-4c14-841a-762745c4555c,github.com/rust-ssr-demos,https://linear.app/denman/project/githubcomrust-ssr-demos-4aff6fcef4d4,T01B3C83PMK,C0BN1NJAE01,rust-ssr-demos,https://oresoftware-workspace.slack.com/archives/C0BN1NJAE01
sagitta-stack,sagitta-stack,sagitta-stack,1,sagitta-stack-project,https://github.com/orgs/sagitta-stack/projects/1,bfa9081b-d718-47bc-922b-95d70b33240b,github.com/sagitta-stack,https://linear.app/denman/project/githubcomsagitta-stack-60010601f42d,T01B3C83PMK,C0BMZ754YCS,sagitta-stack,https://oresoftware-workspace.slack.com/archives/C0BMZ754YCS
scintilla-run,scintilla-run,scintilla-run,1,scintilla-run-project,https://github.com/orgs/scintilla-run/projects/1,f5da817a-9c48-48ff-abcd-c6dd21045c20,github.com/scintilla-run,https://linear.app/denman/project/githubcomscintilla-run-6d9dd5f5e244,T01B3C83PMK,C0BL4GDJHQA,scintilla-run,https://oresoftware-workspace.slack.com/archives/C0BL4GDJHQA
shared-auth,shared-auth,shared-auth,1,shared-auth-project,https://github.com/orgs/shared-auth/projects/1,4bbe0ba4-d7f1-49ce-8f41-afd2cff6c2a2,github.com/shared-auth,https://linear.app/denman/project/githubcomshared-auth-acbca07bb390,T01B3C83PMK,C0BMD90HED8,shared-auth,https://oresoftware-workspace.slack.com/archives/C0BMD90HED8
sonus-auris,sonus-auris,sonus-auris,1,sonus-auris-project,https://github.com/orgs/sonus-auris/projects/1,40905103-ae88-4186-9cff-858b7b9384d2,github.com/sonus-auris,https://linear.app/denman/project/githubcomsonus-auris-a557165528ef,T01B3C83PMK,C0BKSE66CD9,sonus-auris,https://oresoftware-workspace.slack.com/archives/C0BKSE66CD9
streamkore,streamkore,streamkore,1,streamkore-project,https://github.com/orgs/streamkore/projects/1,067678fd-c2a3-4d60-b240-9ef5e4f71da4,github.com/streamkore,https://linear.app/denman/project/githubcomstreamkore-b56684b6c8fd,T01B3C83PMK,C0BMTHECG03,streamkore,https://oresoftware-workspace.slack.com/archives/C0BMTHECG03
streempilot,streempilot,StreemPilot,1,StreemPilot-project,https://github.com/orgs/StreemPilot/projects/1,3f5bd157-4424-42cc-94d0-0bed993cdc1d,github.com/streempilot,https://linear.app/denman/project/githubcomstreempilot-e8b8f6dee124,T01B3C83PMK,C0BMB94FL86,streempilot,https://oresoftware-workspace.slack.com/archives/C0BMB94FL86
unreal-unity-poc,unreal-unity-poc,unreal-unity-poc,1,unreal-unity-poc-project,https://github.com/orgs/unreal-unity-poc/projects/1,0f1defae-bf32-43b0-8288-ab21ee8e7f23,github.com/unreal-unity-poc,https://linear.app/denman/project/githubcomunreal-unity-poc-687af0c16406,T01B3C83PMK,C0BMZQB1DPU,unreal-unity-poc,https://oresoftware-workspace.slack.com/archives/C0BMZQB1DPU
usa-acc,usa-acc,usa-acc,1,usa-acc-project,https://github.com/orgs/usa-acc/projects/1,ed1f5d4e-4a8e-47e4-9149-0be068a07cbe,github.com/usa-acc,https://linear.app/denman/project/githubcomusa-acc-112232184d74,T01B3C83PMK,C0BMX821LFQ,usa-acc,https://oresoftware-workspace.slack.com/archives/C0BMX821LFQ
voxletra,voxletra,voxletra,1,voxletra-project,https://github.com/orgs/voxletra/projects/1,d45b6c31-6b98-467b-8440-e3c3480613fb,github.com/voxletra,https://linear.app/denman/project/githubcomvoxletra-5528d72e4a7d,T01B3C83PMK,C0BMB9GPXC6,voxletra,https://oresoftware-workspace.slack.com/archives/C0BMB9GPXC6
zed-pkg,zed-pkg,zed-pkg,1,zed-pkg-project,https://github.com/orgs/zed-pkg/projects/1,9107ce62-1112-43ff-89bc-f442613c4156,github.com/zed-pkg,https://linear.app/denman/project/githubcomzed-pkg-5a53230ae6cc,T01B3C83PMK,C0BL0K0HABB,zed-pkg,https://oresoftware-workspace.slack.com/archives/C0BL0K0HABB
zed-pkg-test,zed-pkg-test,zed-pkg-test,1,zed-pkg-test-project,https://github.com/orgs/zed-pkg-test/projects/1,2a3e49af-e2a2-4a1a-9385-f7e9a217a14f,github.com/zed-pkg-test,https://linear.app/denman/project/githubcomzed-pkg-test-e0b5db761974,T01B3C83PMK,C0BMTHM8Q9H,zed-pkg-test,https://oresoftware-workspace.slack.com/archives/C0BMTHM8Q9H
